ав ;гнуть
авса антар;согнуть вниз
авса ларт;согнуть и оставить в таком положении
авса хур ;пригнуть
авса пĕтер ;согнуть до конца
ав ;сгибать
ав;вон
авал ;в старину
авал ;давным-давно
авал ;в древности
аваллăх ;старина
аваллăх ;далекое прошлое
авалтан;исстари
авалтан;издавна
авалтанпа;исстари
авалтанпа;издавна
авалхи ;старинный
авалхи ;древний
аван ;прекрасно
аван ;хорошо
аван ;хороший
аван ;прекрасный
аванлан ;улучшаться
аванлан ;становиться лучше
аванланса кай;улучшиться окончательно
аванлавса пыр;улучшаться постепенно
аванлат     ;улучшать
аванлатса пыр;улучшать постепенно
аванлатса яр;улучшить окончательно
авă;вон
авă;вот
авăк;изгиб
авăк;извилина
авăк;кривой
авăк;извилистый
авăк;переменчивый ветер
авăк  ;порывистый
авăн;время обмолота
авăн  ;молотьба
авăн;гнуться
авăн;сгибаться
авăнса ан;согнуться вниз
авăнса кĕр;вогнуться
аванса пĕт;изогнуться во многих местах
авăнса тух;выгнуться наружу
авăнчăк ;изгиб
авăнчăк ;кривизна
авăнчăк ;изогнутый
авăнчăк ;кривой
авăр  ;рукоятка
авăр  ;черен
авăр  ;ручка
авăр  ;стебель
авăр  ;ботва
авăр  ;омут
авăр  ;глубокое место
авăр;работать
авăр ;вертеться
авăрла ;заряжать
авăртса ил ;смолоть для себя
авăртса пар ;смолоть для кого-нибудь
авăрт ;молоть
авăс;грести веслами
авăс;качать
авăс;вертеть
авăт  ;петь
авăт  ;кричать
авăт  ;копать
авăт  ;рыть
авкала ;гнуть
авкала ;изгибать
авкалан;гнуться
авкалан;изгибаться
авкалан;извиваться
авлан;жениться
авланса пăрах;жениться неожиданно
авланса яр ;жениться не совсем обдуманно
авлантар;женить
авлантарса пĕтер;переженить всех
авлантарса яр;жениться
автан ;петух
ай;низ
ай;нижняя часть
ай  ;упрек
ай  ;досада
ай  ;удивление
ай  ;испуг
айăк ;бок
айăк ;сторона
айăккăн ;боком
айăккăн ;на боку
Айăн-çийĕн;вповалку
Айăн-çийĕн;вперемешку
Айăн-çийĕн;беспорядочно
айăп ;вина
айăп ;провинность
айăпла ;винить
айăпла ;обвинять
айăплан ;обвиняться
айăплă ;виноват
айăплă ;виновный
айăпсăр ;безвинный
айăпсăр ;безвинно
айван ;простоватый
айван ;простак
айван ;наивный
айванлан ;глупеть
айванлан ;становиться наивным
айванланса кай;поглупеть
айванлăх ;простодушие
айванлăх ;глупость
айванлăх ;наивность
айкаш ;быть занятым чем-л.
айкаш ;заниматься
айлăм ;низменность
айлăм ;низина
айта ;айда
айта ;давай (побуждение)
ай-яй ;удивление
Ай-яй;укор
Ай-яй;неодобрение
ак;сеять
ак  см. акă;сеять
ака;пахота
ака;сев
акаçă;пахарь
акаçă;сеятель
акса пĕтер;закончить сев
акса ту;возделывать выращивать
акса тух;засеять (определенный участок)
акса хăвар;засеять (впрок)
акă (ак) ;вон
акă (ак)  ;вот же
акăлчан;англичанин
акăлчан;английский
акăш ;лебедь
акăш ;лебединый
ала ;сито
ала ;решето
алă (ал);рука
ал лаппи;ладонь
ал туни;рука предплечье
ал тымарĕ;пульс
алăк;дверь
алăк айĕ;дверной  порог
алăк ани;дверной  проем
алăк тăпси (петли);дверная петля
Алăк хăлăпĕ;Ручка двери
Алăк янахĕ (янаххи);косяк дверной
алка;серьга
алка;сережка
алкум ;сени
алкум ;сенной
алла ;сеять
алла ;просеивать
алла-аллăн ;рука об руку
аллă ;пятьдесят
алса ;рукавицы
алса ;голицы
алсиш ;варежка и варежки
алт;рыть
алт;копать
алтса кăлар;выкопать
алтса ларт;врыть (напр. столб)
алтса хур;зарыть
алтăк ;рытвина
алтăк ;колдобина
алтăк ;ухаб
алтăр ;ковш
алхапăл ;тут же
алхапăл ;сразу
алхапăл ;тотчас же
алхас  ;шалить
алхас  ;баловаться
алхас  ;свирепствовать
алхас  ;бушевать (напр. буря)
алхас  ;развратничать
алхас  ;распутничать
алшăлли ;полотенце
ама ;самка
ама ;матка
амак ;болезнь
амак ;хворь
амак ;недуг
аман ;раниться
аман ;повреждаться
амант ;ранить
амант ;повреждать
амаçури ;мачеха
амăшĕ его (ее)  см. анне;мать
ан;спускаться
ан;падать
ан;слезать
анса лар;спуститься
анса лар;садиться
анса кай;провалиться
ан;частица отрицания
ан кала ;не говори
анас ;зевота
анасла ;зевать
ана-çаран ;луга и пастбища
анат ;низовье
анат ;низменная часть
анатри ;низменный
анатри ;нижний
анатри ;низовой
анăра (анра);лишаться чувств
анăра (анра);терять сознание
анăраса кай (ÿк);потерять сознание
анăраса кай ;оторопеть растеряться
анăраса çит;растеряться окончательно
анăç;закат
анăç;запад
анăç;западный
анкарти ;огород
анкарти ;приусадебный участок
анлă ;широкий
анлă ;просторный
анлă ;широко
анлă ;просторно
анне;мать
аннÿ;моя мать
амăшĕ ;твоя мать( его) ( ее)
ансат ;легкий
ансат ;нетрудный
ансат ;легко
ансат ;нетрудно
ансатлан ;облегчаться
ансатлан ;упрощаться
ансатлат ;облегчать
ансатлат ;упрощать
ансăр ;узкий
ансăр ;тесный
ансăр ;узко
ансăр ;тесно
ансăрлан;сужаться
ансăрланса кай;сузиться
ансăрланса пыр;сужаться постепенно
ансăрланса юл ;стать совсем узким
ансăрлат;сужать
ансăрлатса хăвар (яр);обузить
ансăрлатса хăвар (яр);сузить
антар;спускать
антар;опускать
антар;снимать лишнего (сверху)
антар;наливать
антар;накладывать (пищу)
антарса пар;налить положить (кому-л.)
антарса ил;налить положить( для себя)
антăх;задыхаться (без воздуха)
антăх;захлебываться
антăх;заходиться (напр. от кашля)
анчах  ;частица выделит.-ограничит.
анчах  ;союз противит.
анчах  ;нареч. только что
анчах  ;недавно
анчăк ;собака
анчăк ;пес
анчăк ;щенок
апат ;пища
апат ;еда
апат ;кушанье
апат ;корм
апатлан;кушать
апатлан;есть
апатлантар ;кормить
апатлантар ;угощать
апат-çимĕç ;собир. пища
апат-çимĕç ;съестное
апат-çимĕç ;продовольствие
апăрша ;бедняга
апăрша ;бедный
апăрша ;несчастный
апла ;такой
апла ;так
апла-капла ;так и эдак
аппа;моя старшая сестра
аппу;твоя старшая сестра
аппăшĕ его (ее);их старшая сестра
аппалан ;возиться
аппалан ;заниматься чем-л.
аптăра (аптра);теряться
аптăра (аптра);приходить в замешательство
аптăра (аптра);мучиться
аптăра (аптра);страдать
аптăра (аптра);маяться болеть
аптраса ÿк;болеть  растеряться заболеть
аптăрат (аптрат);приводить в замешательство
аптăрат (аптрат);мучить
аптăрат (аптрат);приносить страдания
аптăрат (аптрат);надоедать
ар;мужчина
ар;мужской
ара çит;достигнуть совершеннолетия
ара çит;возмужать
аран ;еле-еле
аран ;едва
аран ;кое-как
арăм ;жена
арăм ;супруга
арăм ;женщина
арăслан ;лев
арăш-пирĕш ;беспорядок
арăш-пирĕш ;беспорядочный
аркан ;разбиваться
аркан ;разваливаться
аркан ;рассыпаться
аркан ;распадаться (имеет множество значений)
аркат ;разбивать
аркат ;разваливать
аркат ;рассыпать
аркат ;раскидывать
аркат ;разрушать
аркă;подол
аркă;полá
кĕрĕк арки;подол шубы
арлан );хомяк (животное)
арман ;мельница
арман ;мельничный
армути ;полынь
армути ;полынный
арпа ;амякин
арпа ;полова
арпаш ;запутываться
арпаш ;спутываться
арпаштар ;путать
арпаштар ;запутывать
арçын ;мужчина
арçын ;мужской
арча ;сундук
арча;ящик
арча;коробка
ас  ;память
аса ил;вспоминать
аса илтер;напоминать
аса кил;приходить на память
асра тыт;помнить
асран тух (кай);забываться
асран яр ;забывать
ас  ;шалить
ас  ;забывать
ас  ;баловаться
ас  ;разыграться
ас  ;разбушеваться
асанне;моя бабушка (по отцу)
асаннÿ;твоя бабушка(по матери)
асламăшĕ ;(Его)( ее)( их) бабушка
асап ;мука
асап ;страдание
асаплан ;мучиться
асаплан ;страдать
асаплантар;мучить
асаплантар;причинять страдания
асатте;мой дед (со стороны отца)
аслаçÿ;твой дед
аслашшĕ;Его)( ее)( их) дед
асăн ;вспоминать
асăн ;поминать
асăнмалăх;памятный
асăнмалăх;на память
асăрха;замечать
асăрха;подмечать
асăрхаса тăр;присматривать
асăрхаса юл;заприметить
асăрхамасла ;нечаянно
асăрхамасла ;невзначай
асăрхан ;остерегаться
асăрхан ;оберегаться
асăрхан ;быть осторожным
асăрхануллă ;чуткий
асăрхануллă ;настороженный
асăрхануллă ;осторожный
асăрхаттар ;предупреждать
аслан ;расширяться
аслан ;увеличиваться в ширине
аслан ;в объеме
аслан ;растягиваться
аслати;гром
аслати;громовой
аслă ;старший (по возрасту)
аслă ;старший
аслă ;главный
аслă ;высший
аслă ;верховный
аслă ;большой
аслă ;широкий
аслă ;просторный
аслăк ;сеновал
аслăк ;сенник
аслăлан ;расширяться
аслăлан ;становиться просторным
ассăн ;глубоко
ассăн ;тяжело
ассăн ;горестно (вздыхать)
астар ;подманивать
астар ;приваживать
астар ;увлекать
астар ;заинтересовывать
астив ;пробовать
астив ;отведывать
аçа ;самец
аталан ;развиваться
аталан ;крепнуть
аталантар;развивать
аталантар;укреплять
аташ ;заблудиться
аташ ;плутать
аташ ;баловаться
аташ ;шалить
атă ;сапог и сапоги
атă-пушмак ;обувь
атăçă ;сапожник
атма ;наметка (рыболовная снасть)
атте;мой отец
аçу;твой отец
ашшe ;(Его)( ее )(их) отец
атте-анне ;мои родители
ах ;межд. ах
ах ;ох
ах ;аи
ах ;ой
аха ;ага
ахаль ;простой
ахаль ;обыкновенный
ахаль ;так
ахаль ;просто так
ахаль ;даром
ахаль ;бесплатно
ахăр ;кричать
ахăр ;шуметь
ахăр ;галдеть
ахăр ;реветь
ахăр ;бушевать
ахăр ;неистовствовать
ахăр  ;вводн. сл. очевидно
ахăр  ;вероятно
ахăр  ;наверное
ахăртнех ;вводн. сл. видимо
ахăртнех ;по всей видимости
ахăрттар ;смешить
ахăрттар ;вызывать хохот
ахлат;охать
ахлат;стонать
ача ;ребенок
ача ;дитя
ача ;детский
ача ;мальчик
ача ;сын
ача ;юноша
